id_bien;voie;fk_commune;surface_carrez;type_local;nombre_pieces;numero_lot
1;190 RUE CENTRALE;1;50.42;Appartement;2;22
2;347 RUE DU CHATEAU;2;48.22;Appartement;3;12
3;58 AV DU MONT BLANC;3;130.8;Appartement;6;146
4;140 RUE DE L'ABBE JOLIVET;4;109.22;Maison;5;11
5;39 RUE BUFFON;5;108.65;Appartement;4;31
6;28 AV JEAN FALCONNIER;6;31.65;Appartement;2;50
7;8 RUE DE GENEVE;7;52.58;Appartement;2;11
8;2 RUE DU RECULET;7;58.71;Appartement;2;304
9;1403 RUE JEAN DE GINGINS;3;93.23;Maison;4;14
10;226 ALL DES CAPUCINES;7;117;Maison;5;21
11;276 RTE DE POUGNY;4;35.6;Appartement;2;4
12;79 CRS DE VERDUN;8;138.03;Appartement;5;169
13;77 RUE DU COMMERCE;9;42;Appartement;2;11
14;240 RUE DE PRE BAILLY;10;45.36;Appartement;2;110
15;3 RUE TURENNE;5;82.6;Appartement;4;213
16;44 ALL DU SQUARE DE LAUSANNE;3;88.11;Appartement;4;9
17;59 RUE ALEXANDRE BERARD;11;164.87;Appartement;6;3
18;282 CHE DES LONGES RAYES;12;42.2;Appartement;2;47
19;54 GR GRANDE RUE;13;68.11;Appartement;3;4
20;1 RUE DE GEX;14;82.59;Appartement;3;1
21;17 LOT LES JARDINS DE CHEVRY;2;30.23;Appartement;1;9
22;329 RUE DES CARPIERES;15;24.8;Appartement;1;2
23;369 AV CHARLES DE GAULLE;16;52.6;Appartement;2;60
24;154 RUE SUR LA VIGNETTE;17;91.69;Appartement;3;4
25;6 RUE DES USINIERS;10;45.54;Appartement;1;1
26;2 RUE DU JURA;7;84.24;Appartement;3;41
27;54 RUE MARCEL DEMIA;11;68.23;Appartement;3;18
28;269 CHE DE CHARIGNIN;18;62.03;Appartement;3;2
29;322 RUE DE BRETIGNY;19;112.93;Maison;4;74
30;132 ALL DES HETRES;7;131.91;Appartement;4;12
31;80 RUE DE MEYRIN;14;63.58;Appartement;3;1129
32;4 RUE DE LA MAIRIE;6;35.86;Appartement;3;9
33;79 GR GRANDE RUE DE BULLIEZ;16;70.09;Appartement;3;46
34;8 RUE DE LA BIENNE;20;200;Appartement;4;2
35;29 RUE REINE CLOTILDE;11;54.84;Appartement;2;5
36;3 RUE STE MARIE;18;72.75;Appartement;4;24
37;956 RTE DE BOURG;16;94.09;Maison;2;1
38;1 AV DU BIJOU;14;71.08;Appartement;3;128
39;58 CHE DE LA PLANCHE BRULEE;14;97.03;Maison;4;41
40;211 RUE CHANTEPIE;21;44.48;Appartement;2;54
41;25 RUE DE LA ROCHE SAMUEL;22;64.21;Appartement;2;15
42;25 RUE DE LA COMMUNE 1871;11;70.1;Maison;3;62
43;6  DE LA TOUR;23;76.7;Appartement;4;1
44;91 CHE DE LA PLANCHE BRULEE;14;133.77;Appartement;4;402
45;3 RUE DU DOCTEUR GREZEL;24;107.61;Appartement;5;46
46;28 RUE DU DOC CHARCOT;25;42.78;Appartement;2;58
47;312 RUE DES TERRASSES;26;124.55;Maison;5;38
48;10 RUE AMPERE;8;68.11;Appartement;2;13
49;1 RUE GERARD DE NERVAL;27;70.78;Appartement;3;1
50;10 RUE DES HAUTAINS;7;112.3;Appartement;5;211
51;102 MAIL DU NEUTRINO;21;95.43;Maison;4;941
52;84 RUE DE MEYRIN;14;63.45;Appartement;3;1423
53;115 RUE MASONOD;28;77.3;Appartement;4;20
54;812 RUE DES VERTES CAMPAGNES;10;164.18;Maison;6;306
55;26 CHE DE LA PLANCHE BRULEE;14;66.95;Appartement;3;148
56;2 RUE DE CHAMP FUSY;7;30.62;Appartement;1;121
57;53 ALL DES PRUNUS;7;165.92;Appartement;5;19
58;541 RUE DES MONTS JURA;29;51.99;Appartement;2;67
59;386 CHE DES SOUPIRS;18;63.17;Appartement;3;14
60;663 RTE BLANCHE;15;84.97;Appartement;3;2
61;377 RUE DES ABATTOIRS;10;88.7;Appartement;4;51
62;60 ALL DES FRERES CAUDRON;11;50.64;Appartement;2;101
63;86 RUE DE LA REPUBLIQUE;5;38;Appartement;1;5
64;148 IMP DU SAUGY;19;70.53;Appartement;3;19
65;77 LOT CLOS CHAMP VRILLARD;12;105.68;Maison;6;1
66;27 RLE DE L EGLISE;10;46.12;Appartement;3;1
67;5 PL DE L EGLISE;16;37.63;Appartement;2;19
68;94 ALL SIMON VAN DER MEER;21;87.38;Appartement;4;97
69;242 RUE DE PRE BAILLY;10;50.33;Appartement;2;40
70;8 RTE DE DIVONNE;30;134.17;Appartement;4;3
71;24 RUE LAMARTINE;5;47.65;Appartement;3;1
72;88 RUE DU PETIT CHAMP;26;99.13;Maison;4;5
73;27 RUE DES VERGERS;26;43.42;Appartement;2;112
74;250 RUE DES FRENES;31;83.6;Maison;4;12
75;13 RUE JEAN MONNET;11;54.65;Appartement;2;5
76;2 RUE DE LA BATISSE;11;81.15;Appartement;3;26
77;33 RUE DE GENEVE;7;53.43;Appartement;3;35
78;30 RUE DE VERSOIX;14;74.85;Appartement;3;20
79;322 RUE DE BRETIGNY;19;90.33;Maison;4;41
80;923 RTE DE MURY;32;99.39;Maison;4;5
81;77 RUE LA PIECE;2;123.16;Maison;5;43
82;103 MAIL DU NEUTRINO;21;110.13;Maison;5;924
83;33 MAIL DU NEUTRINO;21;71.43;Appartement;3;306
84;75 RUE DES VERGERS;26;56.02;Appartement;3;45
85;27 RTE DE CESSY;33;85.12;Appartement;4;11
86;60 RUE DE SAVOIE;5;75;Appartement;4;141
87;90 RUE DE LAUSANNE;3;135.68;Appartement;4;100
88;72 RUE DE LA REPUBLIQUE;11;35.59;Appartement;2;1
89;198 RTE DE VOUVRAY;5;62.38;Appartement;3;11
90;198 RTE DE VOUVRAY;5;92.04;Appartement;4;21
91;786 AV DES VOIRONS;3;46.05;Appartement;2;86
92;256 AV DE BELLE FERME;10;34.56;Appartement;2;24
93;1143 RUE CLAIRES FONTAINES;34;43.23;Appartement;2;3
94;40 RUE VICTOR HUGO;14;83.82;Maison;4;27
95;150 RUE DE LA REPUBLIQUE;18;38.67;Appartement;2;122
96;14 RUE CASTELLION;8;88;Appartement;3;11
97;38 AV DE VESSY;14;56.96;Appartement;2;109
98;256 AV DE BELLE FERME;10;55.4;Appartement;3;31
99;36 RUE DES APOTRES;11;74.72;Appartement;2;10
100;91  GRAND' RUE;35;295.21;Appartement;6;6
101;88 RUE DE LA PIERRE;32;222.97;Maison;3;1
102;223 RUE DES PRALETS;19;113.52;Appartement;4;1
103;232 RUE DE LA ROCHETTE;36;127.2;Appartement;4;1
104;3 RUE GEORGES CHARPAK;7;47.6;Appartement;2;15
105;9 RUE DE LA FLAUDIERE;37;65.29;Appartement;3;14
106;392 RTE DE VOUVRAY;5;81.24;Appartement;4;79
107;5186  MATAFELON;38;42.89;Appartement;2;2
108;8 RUE GEORGES MARIN;5;69.66;Appartement;3;77
109;6066 RUE DES BATTOIRS;26;69.65;Appartement;3;102
110;1 ESPA CHARLES DE GAULLE;8;64.44;Appartement;3;28
111;54 RUE ANTOINE JACQUET;5;88.83;Appartement;4;216
112;5208  LE BULOZ;39;35.3;Appartement;3;17
113;7 RUE DU DOCTEUR GREZEL;24;45.5;Appartement;2;10
114;247 CHE DE PRE DE PLANCHE;21;73.77;Maison;4;44
115;120 CHE DU MARTINET;12;67.94;Appartement;3;23
116;12 RUE DU MURET;8;22.2;Appartement;1;13
117;47 RUE DU CHANE;40;48.38;Appartement;2;5
118;1 RUE JOLIOT CURIE;5;56.65;Appartement;2;58
119;15 CHE DU LAVOIR;34;32.27;Appartement;2;22
120;68 RUE DES USINIERS;10;61.54;Appartement;4;3
121;5001 ALL HONORE DE BALZAC;18;82.37;Maison;4;55
122;9 RUE DES FRERES SERPOLLET;6;53.81;Appartement;3;1
123;231 RUE DE LA RABOUDIERE;41;71.8;Appartement;3;22
124;80 RUE DE MEYRIN;14;63.54;Appartement;3;1101
125;20  HAMEAU DES CHENES;26;101.52;Maison;6;1
126;47 CHE DES ECOLIERS;3;51.7;Appartement;2;10
127;48 RUE DE GENEVE;14;114.17;Appartement;4;141
128;40 IMP DES PISTES;29;21.48;Appartement;2;605
129;4 IMP DU PEGAN;14;36.21;Appartement;1;131
130;4 PL DE L HOTEL DE VILLE;37;44.24;Appartement;2;11
131;76 RUE COLONEL XAVIER RENDU;5;54.7;Appartement;2;29
132;18 AV FRANCIS BLANCHARD;10;51;Appartement;2;31
133;711 RUE DES MORAINES;2;42.92;Appartement;2;21
134;120 CHE DU MARTINET;12;68.08;Appartement;3;24
135;35 RUE BUFFON;5;70.15;Appartement;3;19
136;20 RUE PARMENTIER;5;57.23;Appartement;2;33
137;461 RUE JEAN-JACQUES ROUSSEAU;7;132.16;Appartement;5;8
138;114 RUE DU CONTE DES PERMISSIONS;3;58.62;Appartement;2;7
139;38 RUE JOSEPH MARION;5;61.89;Appartement;3;2
140;242 RUE DES VERTES CAMPAGNES;10;92.45;Appartement;3;332
141;44 RUE PASTEUR;16;71.29;Appartement;3;24
142;34 RUE DES ECOLES;7;138.05;Maison;5;2
143;183 RUE DU VIEUX BOURG;15;45.12;Appartement;1;105
144;54 RUE ARISTIDE BRIAND;11;70.45;Appartement;3;10
145;99 RUE DE L AMITIE;18;78.54;Appartement;4;25
146;16 RUE DES HAUTAINS;7;52.58;Appartement;2;135
147;5245  LES MARS;42;30.98;Appartement;2;216
148;17 AV DES ALPES;14;95.66;Appartement;5;116
149;35 RUE DES PRELES;43;87.23;Appartement;4;9
150;78 AV DU GEN SARRAIL;11;92.47;Appartement;5;136
151;22 RUE DE L AVENIR;5;89.2;Appartement;5;13
152;7 RUE TURENNE;5;28.8;Appartement;1;17
153;86 RUE GUSTAVE EIFFEL;27;46.68;Appartement;2;20
154;16 AV DU JURA;14;2.36;Appartement;0;420
155;6 RUE GEORGES MARIN;5;68.92;Appartement;3;56
156;346 RUE DE PRE BAILLY;10;68.45;Appartement;3;105
157;195 IMP DU SAUGY;19;102.52;Maison;4;7
158;6066 RUE DES BATTOIRS;26;59.67;Appartement;2;101
159;348 RUE DE PRE BAILLY;10;77.86;Appartement;4;50
160;72 CHE DES COLLINES;43;105.12;Maison;4;2
161;86 RUE DE MEYRIN;14;63.27;Appartement;3;1307
162;181 RUE PARC JEAN MONNET;7;133.24;Appartement;4;17
163;28 CHE DU PEUDEX;3;67.33;Appartement;3;49
164;62 CHE DU PONT DE GREMAZ;26;68.69;Appartement;3;43
165;1 ALL ALBERT CAMUS;5;58.3;Appartement;2;309
166;10 RUE DES HAUTAINS;7;111.06;Appartement;5;213
167;13 PL DES FOURS;18;117.63;Appartement;5;3
168;4 CHE DU MARAIS;21;85.12;Appartement;4;4
169;67 RTE DE GENEVE;12;42.01;Appartement;2;18
170;644 RUE D ARBERE;3;96.46;Maison;5;12
171;67 RTE DE CHAVORNOD;18;57.5;Appartement;3;22
172;96 RUE DU JURA;3;90.4;Appartement;4;14
173;282 CHE DES LONGES RAYES;12;42.59;Appartement;2;30
174;152 GR GRANDE RUE;3;50.11;Appartement;1;10
175;170 RUE DES TERREAUX;10;32.6;Appartement;2;3
176;399 RUE DU COTEILLON;16;103.62;Maison;4;7
177;780 RUE DE LA REPUBLIQUE;44;135.89;Appartement;2;1
178;53 ALL DES PRUNUS;7;166.98;Appartement;5;17
179;71 CHE DE LA PRALAY;45;58.13;Appartement;2;1
180;46 AV DES NATIONS;46;38.67;Appartement;2;49
181;13 RUE DE LAYE;47;120.5;Maison;5;1
182;151 RTE DE BELLEVILLE;48;86.8;Appartement;3;3
183;9 RUE NEUVE;49;41.82;Appartement;1;4
184;768 RUE EDOUARD HERRIOT;50;56.63;Appartement;2;26
185;172 RUE HECTOR BERLIOZ;51;79.06;Appartement;3;1
186;2 RUE DE LYON;47;65.82;Appartement;3;10
187;1172 RTE DE GENEVE;52;38.43;Appartement;3;9
188;62 CHE DU BONATIER;53;85.95;Appartement;4;30
189;40 MTE DES CANNES;54;48.42;Appartement;2;11
190;12 RUE LUCIEN QUITTELIER;55;80.87;Maison;4;28
191;27 RUE FERNAND THUILLART;56;165.11;Appartement;6;13
192;1 RUE CONDORCET;56;71.5;Appartement;4;28
193;15 RUE DU REMPART SAINT REMY;56;82.54;Appartement;3;3
194;11 RUE BONNOT;56;39.97;Appartement;2;3
195;2 RUE MAZIN;57;146.68;Appartement;4;27
196;13 RUE PAUL DOUMER;56;31.6;Appartement;2;5
197;20 RUE DES OEUVRES DE CHINE;55;92;Maison;4;7
198;13 RUE VINCHON;56;73.5;Appartement;3;3
199;15 RUE DU CHANGE;56;23.82;Appartement;1;2
200;13 RUE PAUL DOUMER;56;37.3;Appartement;2;2
201;13 RUE PAUL DOUMER;56;49.1;Appartement;2;4
202;27 RUE CARLIER HENNECART;56;30.94;Appartement;1;1
203;9001 RUE JEAN DE LA FONTAINE;56;65.66;Maison;3;75
204;27 RUE JEAN RACINE;56;27.19;Appartement;1;60
205;10 PL DU MARCHE;56;46.92;Appartement;2;1
206;32 RUE DE LA LINOTTE;56;78.3;Maison;4;107
207;1 RUE CONDORCET;56;88.5;Appartement;5;30
208;1 RLE DES NEUFLIERS;56;24.05;Appartement;1;7
209;30 RUE DE L EGLISE;58;92.54;Maison;4;2
210;1 PL BOUZIER;55;60.05;Appartement;3;3
211;1 RUE CONDORCET;56;89;Appartement;5;26
212;30 RUE SERURIER;56;23.86;Appartement;1;5
213;16 RUE DE MONTEVIDEO;59;25;Appartement;3;7
214;108 BD GAMBETTA;60;148.41;Appartement;5;2
215;32 RUE DE LA LINOTTE;56;47.44;Appartement;2;53
216;32 RUE DE LA LINOTTE;56;80.14;Maison;4;102
217;32 RUE DE LA LINOTTE;56;53.42;Appartement;3;24
218;9003 RUE ROBERT GODARD;61;66.36;Appartement;3;3
219;4 RUE DE LA CONGREGATION;56;28.13;Appartement;1;22
220;21 RUE AMPERE;56;88.14;Maison;4;2
221;3 AV CARNOT;56;77.91;Appartement;3;3
222;30 RUE SERURIER;56;26.4;Appartement;1;3
223;2 RUE DE LA SELLERIE;62;119.4;Appartement;4;5
224;1 RUE D ISLE;62;33.49;Appartement;1;106
225;23 RUE DU GOUVERNEMENT;62;96.4;Appartement;4;7
226;15 RUE VARLET;62;53.22;Appartement;2;34
227;2 PL FERNAND MARQUIGNY;63;142.98;Appartement;5;24
228;36 RUE DU MOULIN BOTTE;64;50.16;Appartement;2;1
229;12 RUE DES PAVEURS;63;108.49;Appartement;4;10
230;2 BD JEANNE D ARC;63;29.16;Appartement;1;11
231;2 RUE JEAN DELAPLACE;63;79.27;Maison;4;37
232;1 RUE DE LA SURCHETTE;63;64.21;Appartement;4;2
233;18 RUE QUINQUET;63;121.9;Appartement;5;29
234;1 RUE DU PONT DE LA TOURNELLE;65;145.28;Maison;4;1
235;7 RUE DE FONTENOY;65;49.99;Appartement;3;8
236;  LA FOSSE SALMON;66;58.67;Appartement;2;58
237;19 RUE SAINT DENIS;67;55.74;Maison;3;10
238;3 RUE ROGER SALENGRO;66;77.56;Appartement;5;13
239;18 RUE DU CHAMP BOUILLANT;63;49.33;Appartement;2;1
240;3 RUE DE LA RESISTANCE;63;47.02;Appartement;3;5
241;14 RUE PORTE CROUY;63;37.18;Appartement;2;1
242;2 CHT DE LA QUINCY;68;106;Maison;6;1
243;8 PTR PETITE RUE SAINT VINCENT;69;39.62;Maison;3;1
244;2 RUE DE BAPAUME;66;81.62;Appartement;4;2
245;10 PL DE LAON;63;41.42;Appartement;1;35
246;1 RUE DES GRAVIERS;63;62.15;Appartement;3;1006
247;15 RUE DU CHAMP BOUILLANT;63;59.81;Appartement;4;17
248;20 RUE NOTRE DAME;63;20.45;Appartement;1;38
249;17 RUE ALEXANDRE DUMAS;66;89.56;Appartement;3;18
250;5 RUE FERNAND BAZIN;70;570;Maison;6;3
251;5 PL DU DOCTEUR MOUFLIER;66;21.4;Appartement;1;4
252;2 BD EDOUARD BRANLY;63;49.46;Appartement;2;17
253;2 BD EDOUARD BRANLY;63;45.12;Appartement;2;23
254;4 PL DE LAON;63;68.95;Appartement;3;22
255;16 RUE D OULCHY LE CHATEAU;71;76.95;Appartement;3;37
256;12 AV THIERS;63;72.93;Appartement;2;4
257;4 RUE JEAN MOULIN;63;65.9;Appartement;3;14
258;3 RUE PORTE CROUY;63;31.84;Appartement;2;21
259;5 PL DU DOCTEUR MOUFLIER;66;20.69;Appartement;1;6
260;30 AV DU GENERAL DE GAULLE;63;29.36;Appartement;1;6
261;9 RUE VICTOR HUGO;66;67.85;Appartement;3;1
262;41 RUE DU GRAND MONTOIR;66;51.07;Appartement;3;1
263;7 RUE DE PANLEU;63;29.21;Appartement;1;20
264;30 AV DU GENERAL DE GAULLE;63;23.7;Appartement;1;5
265;10 PL DE LAON;63;73.94;Appartement;3;18
266;5 RUE FERNAND BAZIN;70;93.89;Maison;6;1
267;2 BD EDOUARD BRANLY;63;68.37;Appartement;3;14
268;2 BD EDOUARD BRANLY;63;73.65;Appartement;3;1
269;22 BD JEANNE D ARC;63;31.62;Appartement;1;11
270;12 AV DE LA MARE AUX CANES;72;60.2;Appartement;3;18
271;3 PL DE L HOTEL DE VILLE;72;48.5;Appartement;3;4
272;50 GR GRANDE RUE;72;57.74;Appartement;3;11
273;1 RES RENOIR;72;78.24;Appartement;4;16
274;2 RUE PAUL CLAUDEL;73;64.24;Appartement;3;1
275;22 RUE DE LA FRATERNITE;74;34.46;Appartement;2;72
276;2 RUE DENAIN;74;124.01;Appartement;3;3
277;22 RUE DE LA FRATERNITE;74;34.9;Appartement;1;61
278;22 RUE DE LA FRATERNITE;74;22.19;Appartement;1;47
279;14 RUE CHARLES PEGUY;74;83.87;Appartement;4;22
280;4 RES PARC MONTFAULT;75;107.77;Maison;5;4
281;11 RUE DU VERT GALANT;74;61.4;Appartement;4;6
282;16 IMP DU PRE DE MOLLES;75;128.8;Maison;5;12
283;84 RTE DE LYON;75;58.46;Appartement;3;58
284;3 RUE JACQUES VINCENT;75;40.06;Appartement;2;5
285;24 RUE GASPARD ROUX;74;78.3;Appartement;4;133
286;1 AV DU DRAPEAU;76;106;Appartement;5;10
287;71 RUE JEAN JAURES;77;74.54;Appartement;3;5
288;2 RUE MONTIGNAC;77;81.72;Appartement;3;11
289;2 RUE DU 11 NOVEMBRE;77;67.64;Appartement;4;14
290;10 RUE DUCHON;77;42.98;Appartement;2;11
291;4 RUE HUBERT COLOMBIER;77;40.57;Appartement;2;1
292;9003 PL DE L HORLOGE;78;105.71;Appartement;4;7
293;7102 PL DE L ENGIEN;79;106.43;Appartement;4;1
294;7003 RES LES MELEZES;80;29.74;Appartement;1;274
295;9500 TRA DU CAMPING;81;65.4;Appartement;3;4
296;1 RUE DES MONGES;82;144.6;Appartement;4;3
297;7066  STATION DE SAINT JEAN;83;24.74;Appartement;1;81
298;9002 PL DU DOCTEUR ROBERT;78;32.89;Appartement;1;9
299;7192  LA CHAPELLE;84;20.92;Appartement;1;41
300; PL DES AIRES;85;93.76;Appartement;4;7
301;7078 RTE DE MAZAGRAND;86;20.73;Appartement;1;6
302;7037  LE VILLAGE;87;26.6;Appartement;2;6
303;6 RUE GRANDE;88;40;Appartement;3;6
304;7034  ADRECH DE CHAUVET;84;27.46;Appartement;1;234
305;25 AV FRANCOIS CUZIN;82;51.42;Appartement;2;50
306;20 RUE DU VALLON DE FARINE;82;71.39;Maison;3;32
307;7002  STATION DE SAINT JEAN;83;41.16;Appartement;2;33
308;7042  LE VILLAGE;89;65.5;Appartement;2;7
309;7398  PONT DE LABRAU OUEST;84;34.95;Appartement;2;162
310;24 LOT LOTISSEMENT DU BERARD;90;60.66;Appartement;3;2
311;7052 RES LES CHENEVRIERS;80;24.32;Appartement;1;46
312;12 CHE DES ALPAGES;91;23.02;Appartement;1;50
313;25 RUE PRINCIPALE;86;59.73;Appartement;2;6
314;7300 CHE DES BEAUMES;92;33.05;Appartement;2;7
315;39 BD VICTOR HUGO;82;23.25;Appartement;1;41
316;9482 RES LE VALLON DES SOURCES;82;30.47;Appartement;2;13
317;32 BD VICTOR HUGO;82;28.33;Appartement;1;72
318;5081  LE SUPERSAUZE;80;35.97;Appartement;1;7
319;26  LE PONT;93;20.85;Maison;2;26
320;7178  PONT DE LABRAU;84;20.55;Appartement;1;86
321;2 IMP DE CARUPE;94;142.9;Appartement;5;2
322;7153  LES HAUTES PLAINES;92;18.44;Appartement;1;69
323;5112 RES LES MARGUERITES;80;26.76;Appartement;1;112
324;4 PL DE LA MAIRIE;82;53.1;Appartement;2;9
325;5230  LE SUPERSAUZE;80;35.2;Appartement;2;90
326;7153  LES HAUTES PLAINES;92;18.84;Appartement;1;54
327;6  ANCIENNE RTE D FORCALQUIER;95;80.26;Appartement;3;1
328;7096  BEAUDINE;96;76.81;Appartement;4;13
329;3 PL DE LA REPUBLIQUE;78;79.54;Appartement;3;26
330;53 RUE DELEUZE;78;72.07;Appartement;2;13
331;7023  GRANDE MONTAGNE;97;29.66;Appartement;2;315
332;7052  LES AUCHES;84;29.03;Appartement;2;209
333;181 ALL DES AVETTES;98;82.37;Maison;5;57
334;5 AV MARCEL ANDRE;96;33.8;Appartement;2;2
335;7218  LACHAUD ET CHAUVET;84;19.72;Appartement;1;71
336;320 AV DU DCT BERNARD FOUSSIER;98;15;Appartement;4;35
337;6 RUE ANDRE HONNORAT;91;58.96;Appartement;3;9
