id_commune;code_postal;commune
1;01370;SAINT-ETIENNE-DU-BOIS
2;01170;CHEVRY
3;01220;DIVONNE-LES-BAINS
4;01630;PERON
5;01200;VALSERHONE
6;01350;CULOZ
7;01630;ST-GENIS-POUILLY
8;01100;OYONNAX
9;01130;ST-GERMAIN-DE-JOUX
10;01170;GEX
11;01500;AMBERIEU-EN-BUGEY
12;01170;CESSY
13;01150;SAULT-BRENAZ
14;01210;FERNEY-VOLTAIRE
15;01170;SEGNY
16;01150;LAGNIEU
17;01130;LE POIZAT-LALLEYRIAT
18;01300;BELLEY
19;01210;ORNEX
20;01590;DORTAN
21;01280;PREVESSIN-MOENS
22;01110;BRENOD
23;01640;SAINT-JEAN-LE-VIEUX
24;01130;NANTUA
25;01500;SAINT-DENIS-EN-BUGEY
26;01710;THOIRY
27;01100;BELLIGNAT
28;01110;PLATEAU D'HAUTEVILLE
29;01410;LELEX
30;01170;VESANCY
31;01580;IZERNORE
32;01170;ECHENEVEX
33;01210;VERSONNEX
34;01150;SAINT-VULBAS
35;01550;COLLONGES
36;01260;CHAMPAGNE-EN-VALROMEY
37;01640;JUJURIEUX
38;01580;MATAFELON-GRANGES
39;01260;HAUT-VALROMEY
40;01100;ARBENT
41;01360;LOYETTES
42;01410;MIJOUX
43;01630;SERGY
44;01550;FARGES
45;01170;CROZET
46;01330;VILLARS-LES-DOMBES
47;01800;MEXIMIEUX
48;01090;MONTCEAUX
49;01120;MONTLUEL
50;01480;JASSANS-RIOTTIER
51;01480;BEAUREGARD
52;01120;DAGNEUX
53;01390;MIONNAY
54;01800;VILLIEU-LOYES-MOLLON
55;02300;CHAUNY
56;02000;LAON
57;02800;LA FERE
58;02000;URCEL
59;02410;SAINT GOBAIN
60;02700;TERGNIER
61;02670;FOLEMBRAY
62;02100;SAINT QUENTIN
63;02200;SOISSONS
64;02200;COURMELLES
65;02290;VIC SUR AISNE
66;02600;VILLERS-COTTERETS
67;02600;LARGNY SUR AUTOMNE
68;02880;NANTEUIL LA FOSSE
69;02370;VAILLY-SUR-AISNE
70;02600;COEUVRES ET VALSERY
71;02200;BELLEU
72;02400;CHATEAU THIERRY
73;02130;FERE EN TARDENOIS
74;03000;MOULINS
75;03400;YZEURE
76;03300;CUSSET
77;03200;VICHY
78;04200;SISTERON
79;04500;RIEZ
80;04400;ENCHASTRAYES
81;04160;CHATEAU-ARNOUX-SAINT-AUBAN
82;04000;DIGNE-LES-BAINS
83;04140;MONTCLAR
84;04260;ALLOS
85;04120;CASTELLANE
86;04850;JAUSIERS
87;04340;LE LAUZET UBAYE
88;04140;SEYNE
89;04500;SAINTE CROIX DU VERDON
90;04400;FAUCON-DE-BARCELONNETTE
91;04400;BARCELONNETTE
92;04800;GREOUX-LES-BAINS
93;04800;SAINT-MARTIN-DE-BROMES
94;04200;PEIPIN
95;04130;VOLX
96;04300;FORCALQUIER
97;04140;SELONNET
98;04100;MANOSQUE
99;04400;UVERNET-FOURS
100;04200;NOYERS-SUR-JABRON
101;04300;PIERRERUE
102;04700;ORAISON
103;04160;L ESCALE
104;04180;VILLENEUVE
105;04210;VALENSOLE
106;04290;VOLONNE
107;04220;SAINTE-TULLE
108;04230;SAINT-ETIENNE-LES-ORGUES
109;04120;DEMANDOLX
110;04330;BARREME
111;05300;LARAGNE-MONTEGLIN
