id_mutation;nature_mutation;date_mutation
1;Vente;2020-02-03
2;Vente;2020-01-02
3;Vente;2020-01-08
4;Vente;2020-01-06
5;Vente;2020-01-07
6;Vente;2020-01-21
7;Vente;2020-01-07
8;Vente;2020-01-08
9;Vente;2020-01-16
10;Vente;2020-01-17
11;Vente;2020-01-16
12;Vente;2020-01-27
13;Vente;2020-01-30
14;Vente;2020-01-09
15;Vente;2020-01-15
16;Vente;2020-01-20
17;Vente;2020-01-28
18;Vente;2020-01-22
19;Vente;2020-01-27
20;Vente;2020-01-06
21;Vente;2020-01-27
22;Vente;2020-01-16
23;Vente;2020-01-30
24;Vente;2020-02-05
25;Vente;2020-01-21
26;Vente;2020-01-31
27;Vente;2020-02-03
28;Vente;2020-01-27
29;Vente;2020-01-31
30;Vente;2020-01-29
31;Vente;2020-01-28
32;Vente;2020-01-16
33;Vente;2020-01-23
34;Vente;2020-01-31
35;Vente;2020-02-03
36;Vente;2020-01-13
37;Vente;2020-02-07
38;Vente;2020-01-23
39;Vente;2020-01-24
40;Vente;2020-02-06
41;Vente;2020-02-07
42;Vente;2020-02-07
43;Vente;2020-02-10
44;Vente;2020-02-06
45;Vente;2020-02-12
46;Vente;2020-02-05
47;Vente;2020-01-30
48;Vente;2020-02-03
49;Vente;2020-02-05
50;Vente;2020-02-03
51;Vente;2020-02-07
52;Vente;2020-01-28
53;Vente;2020-02-12
54;Vente;2020-01-28
55;Vente;2020-02-10
56;Vente;2020-02-12
57;Vente;2020-01-29
58;Vente;2020-02-20
59;Vente;2020-02-04
60;Vente;2020-02-05
61;Vente;2020-02-17
62;Vente;2020-02-14
63;Vente;2020-02-14
64;Vente;2020-02-11
65;Vente;2020-02-18
66;Vente;2020-02-04
67;Vente;2020-02-13
68;Vente;2020-02-18
69;Vente;2020-02-12
70;Vente;2020-02-11
71;Vente;2020-02-19
72;Vente;2020-02-14
73;Vente;2020-02-24
74;Vente;2020-02-25
75;Vente;2020-02-18
76;Vente;2020-02-28
77;Vente;2020-02-17
78;Vente;2020-02-21
79;Vente;2020-02-25
80;Vente;2020-02-20
81;Vente;2020-02-25
82;Vente;2020-02-17
83;Vente;2020-02-12
84;Vente;2020-03-03
85;Vente;2020-02-27
86;Vente;2020-02-28
87;Vente;2020-02-25
88;Vente;2020-02-28
89;Vente;2020-03-04
90;Vente;2020-03-04
91;Vente;2020-03-09
92;Vente;2020-03-03
93;Vente;2020-03-17
94;Vente;2020-03-05
95;Vente;2020-03-11
96;Vente;2020-02-28
97;Vente;2020-03-11
98;Vente;2020-03-10
99;Vente;2020-03-16
100;Vente;2020-03-10
101;Vente;2020-03-02
102;Vente;2020-03-11
103;Vente;2020-03-27
104;Vente;2020-03-03
105;Vente;2020-03-19
106;Vente;2020-03-25
107;Vente;2020-03-10
108;Vente;2020-03-16
109;Vente;2020-03-12
110;Vente;2020-03-31
111;Vente;2020-03-11
112;Vente;2020-03-19
113;Vente;2020-04-01
114;Vente;2020-04-07
115;Vente;2020-03-18
116;Vente;2020-03-16
117;Vente;2020-03-16
118;Vente;2020-03-31
119;Vente;2020-03-17
120;Vente;2020-04-03
121;Vente;2020-03-14
122;Vente;2020-04-10
123;Vente;2020-04-03
124;Vente;2020-04-22
125;Vente;2020-04-15
126;Vente;2020-04-15
127;Vente;2020-04-08
128;Vente;2020-04-27
129;Vente;2020-04-09
130;Vente;2020-04-22
131;Vente;2020-04-21
132;Vente;2020-04-09
133;Vente;2020-03-16
134;Vente;2020-03-26
135;Vente;2020-04-28
136;Vente;2020-04-29
137;Vente;2020-04-17
138;Vente;2020-04-24
139;Vente;2020-04-29
140;Vente;2020-04-30
141;Vente;2020-05-06
142;Vente;2020-05-07
143;Vente;2020-05-07
144;Vente;2020-05-07
145;Vente;2020-05-13
146;Vente;2020-05-05
147;Vente;2020-04-17
148;Vente;2020-04-29
149;Vente;2020-05-19
150;Vente;2020-05-20
151;Vente;2020-05-15
152;Vente;2020-05-15
153;Vente;2020-05-18
154;Vente;2020-05-19
155;Vente;2020-05-12
156;Vente;2020-05-12
157;Vente;2020-05-15
158;Vente;2020-05-14
159;Vente;2020-05-06
160;Vente;2020-05-11
161;Vente;2020-05-12
162;Vente;2020-05-15
163;Vente;2020-05-29
164;Vente;2020-05-12
165;Vente;2020-05-20
166;Vente;2020-05-12
167;Vente;2020-05-18
168;Vente;2020-05-15
169;Vente;2020-05-18
170;Vente;2020-05-19
171;Vente;2020-06-02
172;Vente;2020-06-02
173;Vente;2020-06-11
174;Vente;2020-06-04
175;Vente;2020-06-04
176;Vente;2020-05-29
177;Vente;2020-06-04
178;Vente;2020-06-17
179;Vente;2020-06-26
180;Vente;2020-01-14
181;Vente;2020-01-10
182;Vente;2020-01-07
183;Vente;2020-01-03
184;Vente;2020-01-16
185;Vente;2020-01-13
186;Vente;2020-04-06
187;Vente;2020-05-15
188;Vente;2020-05-20
189;Vente;2020-05-22
190;Vente;2020-01-16
191;Vente;2020-01-03
192;Vente;2020-01-15
193;Vente;2020-01-22
194;Vente;2020-01-10
195;Vente;2020-01-24
196;Vente;2020-02-17
197;Vente;2020-02-14
198;Vente;2020-02-21
199;Vente;2020-02-21
200;Vente;2020-02-24
201;Vente;2020-02-19
202;Vente;2020-02-06
203;Vente;2020-03-12
204;Vente;2020-04-09
205;Vente;2020-04-06
206;Vente;2020-04-09
207;Vente;2020-05-06
208;Vente;2020-05-04
209;Vente;2020-05-18
210;Vente;2020-05-11
211;Vente;2020-05-26
212;Vente;2020-05-26
213;Vente;2020-05-26
214;Vente;2020-05-29
215;Vente;2020-05-30
216;Vente;2020-06-05
217;Vente;2020-05-22
218;Vente;2020-06-25
219;Vente;2020-06-23
220;Vente;2020-06-24
221;Vente;2020-06-24
222;Vente;2020-06-30
223;Vente;2020-01-15
224;Vente;2020-02-07
225;Vente;2020-03-06
226;Vente;2020-06-19
227;Vente;2020-01-10
228;Vente;2020-02-04
229;Vente;2020-01-31
230;Vente;2020-02-06
231;Vente;2020-02-18
232;Vente;2020-02-07
233;Vente;2020-02-04
234;Vente;2020-02-13
235;Vente;2020-02-13
236;Vente;2020-02-17
237;Vente;2020-02-05
238;Vente;2020-01-31
239;Vente;2020-02-12
240;Vente;2020-02-19
241;Vente;2020-02-18
242;Vente;2020-02-03
243;Vente;2020-03-03
244;Vente;2020-02-14
245;Vente;2020-03-10
246;Vente;2020-03-10
247;Vente;2020-03-02
248;Vente;2020-02-27
249;Vente;2020-04-20
250;Vente;2020-04-23
251;Vente;2020-05-15
252;Vente;2020-03-10
253;Vente;2020-03-02
254;Vente;2020-05-06
255;Vente;2020-05-29
256;Vente;2020-05-14
257;Vente;2020-05-25
258;Vente;2020-06-05
259;Vente;2020-06-04
260;Vente;2020-05-16
261;Vente;2020-05-27
262;Vente;2020-05-28
263;Vente;2020-06-10
264;Vente;2020-06-30
265;Vente;2020-06-05
266;Vente;2020-06-18
267;Vente;2020-06-09
268;Vente;2020-06-10
269;Vente;2020-06-25
270;Vente;2020-01-24
271;Vente;2020-02-07
272;Vente;2020-03-11
273;Vente;2020-06-10
274;Vente;2020-06-08
275;Vente;2020-01-21
276;Vente;2020-01-03
277;Vente;2020-01-07
278;Vente;2020-01-15
279;Vente;2020-01-16
280;Vente;2020-03-16
281;Vente;2020-02-28
282;Vente;2020-03-17
283;Vente;2020-05-06
284;Vente;2020-05-19
285;Vente;2020-06-18
286;Vente;2020-05-16
287;Vente;2020-05-25
288;Vente;2020-05-15
289;Vente;2020-05-25
290;Vente;2020-05-20
291;Vente;2020-06-09
292;Vente;2020-01-04
293;Vente;2020-01-03
294;Vente;2020-01-10
295;Vente;2020-01-21
296;Vente;2020-01-06
297;Vente;2020-01-11
298;Vente;2020-01-03
299;Vente;2020-01-21
300;Vente;2020-01-20
301;Vente;2020-01-22
302;Vente;2020-01-17
303;Vente;2020-01-15
304;Vente;2020-01-21
305;Vente;2020-01-29
306;Vente;2020-01-14
307;Vente;2020-01-23
308;Vente;2020-01-16
309;Vente;2020-01-20
310;Vente;2020-01-29
311;Vente;2020-01-03
312;Vente;2020-01-20
313;Vente;2020-02-07
314;Vente;2020-01-31
315;Vente;2020-01-30
316;Vente;2020-02-04
317;Vente;2020-02-10
318;Vente;2020-01-24
319;Vente;2020-01-23
320;Vente;2020-02-07
321;Vente;2020-02-05
322;Vente;2020-01-31
323;Vente;2020-02-13
324;Vente;2020-02-14
325;Vente;2020-02-14
326;Vente;2020-01-27
327;Vente;2020-02-04
328;Vente;2020-01-31
329;Vente;2020-02-07
330;Vente;2020-02-14
331;Vente;2020-01-30
332;Vente;2020-01-31
333;Vente;2020-02-12
334;Vente;2020-02-12
335;Vente;2020-01-27
336;Vente;2020-02-21
337;Vente;2020-01-29
338;Vente;2020-02-13
339;Vente;2020-02-25
340;Vente;2020-02-17
341;Vente;2020-02-22
342;Vente;2020-02-04
343;Vente;2020-02-08
344;Vente;2020-02-13
345;Vente;2020-02-06
346;Vente;2020-02-19
347;Vente;2020-02-11
348;Vente;2020-02-12
349;Vente;2020-02-21
350;Vente;2020-02-14
