fk_mutation;fk_bien;valeur_fonciere
1;1;56000
2;2;165000
3;3;720000
4;4;429250
5;5;220900
6;6;42000
7;7;262000
8;8;190000
9;9;563130
10;10;535000
11;11;330000
12;12;110600
13;13;50000
14;14;212000
15;15;160000
16;16;561550
17;17;358000
18;18;220000
19;19;79300
20;20;285000
21;21;123100
22;22;107500
23;23;128810
24;24;31000
25;25;125000
26;26;285000
27;27;140500
28;28;101050
29;29;530000
30;30;486415
31;31;185000
32;32;131376
33;33;155000
34;34;150000
35;35;67000
36;36;114000
37;37;143850
38;38;237900
39;39;425000
40;40;220000
41;41;55000
42;42;164665
43;43;89000
44;44;475150
45;45;132500
46;46;68000
47;47;570840
48;48;135700
49;49;62500
50;50;332500
51;51;428000
52;52;210000
53;53;50000
54;54;592487
55;55;295000
56;56;133000
57;57;580450
58;58;105500
59;59;152900
60;60;352300
61;61;215000
62;62;128460
63;63;90500
64;64;305500
65;65;430000
66;66;152470
67;67;55000
68;68;465660
69;69;167550
70;70;212862
71;71;54000
72;72;390000
73;73;160000
74;74;156580
75;75;129258
76;76;210000
77;77;189350
78;78;310000
79;79;435000
80;80;505000
81;81;442100
82;82;506000
83;83;292000
84;84;200000
85;85;315800
86;86;167000
87;87;640000
88;88;74000
89;89;232550
90;90;90000
91;91;282000
92;92;152000
93;93;164000
94;94;389500
95;95;43000
96;96;139130
97;97;229100
98;98;222450
99;99;147500
100;100;440000
101;101;495000
102;102;510000
103;103;170000
104;104;251500
105;105;98000
106;106;132300
107;107;126000
108;108;131500
109;109;266960
110;110;114500
111;111;181970
112;112;70000
113;113;45000
114;114;375000
115;115;247000
116;116;16300
117;117;60000
118;118;164000
119;119;93585
120;120;210000
121;121;120000
122;122;50000
123;123;174850
124;124;223905
125;125;540000
126;126;230000
127;127;445000
128;128;44000
129;129;145900
130;130;57000
131;131;138000
132;132;190000
133;133;182000
134;134;271000
135;135;114400
136;136;98000
137;137;505000
138;138;289150
139;139;104000
140;140;245000
141;141;115000
142;142;483800
143;143;185000
144;144;188000
145;145;185000
146;146;162000
147;147;76000
148;148;367000
149;149;324050
150;150;170000
151;151;79370
152;152;69800
153;153;54120
154;154;116500
155;155;136000
156;156;234810
157;157;410000
158;158;205000
159;159;294000
160;160;620000
161;161;230000
162;162;469820
163;163;371550
164;164;315000
165;165;82500
166;166;439785
167;167;65000
168;168;469000
169;169;161000
170;170;513350
171;171;83000
172;172;471810
173;173;220470
174;174;243000
175;175;100000
176;176;193700
177;177;100000
178;178;595600
179;179;225000
180;180;106000
181;181;203400
182;182;212150
183;183;102000
184;184;150200
185;185;129400
186;186;130000
187;187;84800
188;188;282600
189;189;145100
190;190;87000
191;191;142000
192;192;66000
193;193;71500
194;194;68100
195;195;58900
196;196;37900
197;197;70000
198;198;112900
199;199;39500
200;200;39900
201;201;78100
202;202;37015
203;203;93000
204;204;35000
205;205;42500
206;206;88000
207;207;80900
208;208;34000
209;209;84000
210;210;90000
211;211;81500
212;212;27000
213;213;20000
214;214;137000
215;215;44500
216;216;75000
217;217;44000
218;218;32500
219;219;35500
220;220;365000
221;221;55000
222;222;29500
223;223;370000
224;224;41000
225;225;107000
226;226;68700
227;227;290000
228;228;57000
229;229;274000
230;230;39000
231;231;102345
232;232;63500
233;233;181000
234;234;125000
235;235;59000
236;236;63000
237;237;90000
238;238;110000
239;239;81000
240;240;67000
241;241;30000
242;242;79180
243;243;55000
244;244;97000
245;245;44000
246;246;82500
247;247;230000
248;248;13000
249;249;103090
250;250;95000
251;251;36000
252;252;100789
253;253;76280
254;254;65000
255;255;151000
256;256;134000
257;257;56500
258;258;47500
259;259;44000
260;260;41500
